"Target","Submission Date","Difficulty","Quaternary State of Target","# of Monomeric Models (Homo-oligomeric)","ref. PDB [Chain]","Sequence Length (residues)","Method","Resolution"
"2023-12-30_00000003_1","2023-12-30","0","2","29","8cmx [A]","503","X-RAY DIFFRACTION","3.46"
"2023-12-30_00000028_1","2023-12-30","0","2","31","8h92 [B]","207","X-RAY DIFFRACTION","2.6"
"2023-12-30_00000035_1","2023-12-30","1","2","32","8hwi [B]","177","X-RAY DIFFRACTION","2.73"
"2023-12-30_00000036_1","2023-12-30","1","2","32","8hwj [A]","165","X-RAY DIFFRACTION","2.553"
"2023-12-30_00000038_1","2023-12-30","0","1","29","8hxq [A]","125","X-RAY DIFFRACTION","2.4"
"2023-12-30_00000059_1","2023-12-30","1","2","29","8jqe [A]","305","X-RAY DIFFRACTION","2.31"
"2023-12-30_00000080_1","2023-12-30","1","0","31","8pyh [B]","321","X-RAY DIFFRACTION","2.2"
"2023-12-30_00000081_1","2023-12-30","0","0","26","8pzk [A]","321","X-RAY DIFFRACTION","1.8"
"2023-12-30_00000102_1","2023-12-30","1","2","28","8wwu [B]","510","X-RAY DIFFRACTION","2"
"2023-12-23_00000033_1","2023-12-23","0","2","27","8c0h [G]","384","X-RAY DIFFRACTION","1.58"
"2023-12-23_00000042_3","2023-12-23","2","1","19","8che [C]","37","X-RAY DIFFRACTION","1.49"
"2023-12-23_00000076_1","2023-12-23","0","0","26","8hqq [A]","418","X-RAY DIFFRACTION","1.86"
"2023-12-23_00000089_1","2023-12-23","1","2","33","8huc [B]","275","X-RAY DIFFRACTION","1.984"
"2023-12-23_00000095_1","2023-12-23","1","0","26","8hvb [A]","614","X-RAY DIFFRACTION","1.6"
"2023-12-23_00000110_1","2023-12-23","0","2","27","8idr [C]","153","X-RAY DIFFRACTION","1.8"
"2023-12-23_00000114_1","2023-12-23","1","0","24","8iiu [B]","126","X-RAY DIFFRACTION","1.27"
"2023-12-23_00000173_1","2023-12-23","1","2","27","8q4e [A]","165","X-RAY DIFFRACTION","1.9"
"2023-12-23_00000183_1","2023-12-23","1","2","30","8qc8 [B]","393","X-RAY DIFFRACTION","2.35"
"2023-12-23_00000186_1","2023-12-23","1","2","28","8qfl [A]","184","X-RAY DIFFRACTION","1.75"
"2023-12-23_00000204_1","2023-12-23","0","0","25","8r8a [A]","130","X-RAY DIFFRACTION","1.317"
"2023-12-23_00000213_1","2023-12-23","0","2","27","8sf5 [A]","433","X-RAY DIFFRACTION","2.3"
"2023-12-16_00000080_1","2023-12-16","0","0","32","8bwk [C]","728","X-RAY DIFFRACTION","2.29"
"2023-12-16_00000095_1","2023-12-16","2","0","33","8c8j [A]","832","X-RAY DIFFRACTION","2.1"
"2023-12-16_00000107_1","2023-12-16","0","2","33","8cib [B]","209","X-RAY DIFFRACTION","1.78"
"2023-12-16_00000132_2","2023-12-16","1","1","25","8g4y [B]","39","X-RAY DIFFRACTION","1.41"
"2023-12-16_00000147_1","2023-12-16","1","0","35","8hpg [A]","312","X-RAY DIFFRACTION","3.895"
"2023-12-16_00000148_1","2023-12-16","1","1","33","8hpp [A]","471","X-RAY DIFFRACTION","3"
"2023-12-16_00000180_1","2023-12-16","0","0","32","8ht0 [A]","447","X-RAY DIFFRACTION","2"
"2023-12-16_00000223_1","2023-12-16","2","0","29","8jw3 [A]","319","X-RAY DIFFRACTION","1.45"
"2023-12-16_00000224_1","2023-12-16","2","1","35","8jwj [C]","300","X-RAY DIFFRACTION","2.96"
"2023-12-16_00000243_2","2023-12-16","0","1","29","8q7s [B]","117","X-RAY DIFFRACTION","2.7"
"2023-12-16_00000245_3","2023-12-16","0","1","29","8q94 [C]","132","X-RAY DIFFRACTION","2.5"
"2023-12-16_00000246_2","2023-12-16","0","1","30","8q95 [B]","131","X-RAY DIFFRACTION","1.6"
"2023-12-16_00000246_3","2023-12-16","0","1","29","8q95 [C]","120","X-RAY DIFFRACTION","1.6"
"2023-12-16_00000302_1","2023-12-16","1","2","33","8v4g [B]","337","X-RAY DIFFRACTION","2"
"2023-12-09_00000028_1","2023-12-09","0","0","38","8bu0 [A]","292","X-RAY DIFFRACTION","1.4"
"2023-12-09_00000031_1","2023-12-09","2","0","38","8bux [A]","334","X-RAY DIFFRACTION","1.86"
"2023-12-09_00000032_1","2023-12-09","1","2","43","8buy [A]","144","X-RAY DIFFRACTION","1.6"
"2023-12-09_00000037_1","2023-12-09","1","0","44","8bvi [A]","310","X-RAY DIFFRACTION","3.1"
"2023-12-09_00000038_1","2023-12-09","0","0","41","8c4d [A]","330","X-RAY DIFFRACTION","1.97"
"2023-12-09_00000039_1","2023-12-09","0","0","37","8c5b [A]","668","X-RAY DIFFRACTION","2.5"
"2023-12-09_00000093_1","2023-12-09","0","0","31","8fnx [A]","765","X-RAY DIFFRACTION","2.1"
"2023-12-09_00000094_1","2023-12-09","0","0","30","8fyg [A]","765","X-RAY DIFFRACTION","2.05"
"2023-12-09_00000112_1","2023-12-09","0","0","35","8hne [A]","219","X-RAY DIFFRACTION","1.13"
"2023-12-09_00000119_1","2023-12-09","0","0","36","8hoj [A]","464","X-RAY DIFFRACTION","2.9"
"2023-12-09_00000180_1","2023-12-09","1","0","36","8jn0 [A]","89","X-RAY DIFFRACTION","1.22826"
"2023-12-09_00000201_1","2023-12-09","1","2","43","8phb [A]","406","X-RAY DIFFRACTION","1.7"
"2023-12-09_00000206_1","2023-12-09","2","2","38","8pz3 [A]","300","X-RAY DIFFRACTION","3.15"
"2023-12-02_00000009_1","2023-12-02","1","0","40","7yll [A]","384","X-RAY DIFFRACTION","2.60001"
"2023-12-02_00000018_4","2023-12-02","1","1","34","8ek5 [E]","464","X-RAY DIFFRACTION","2.11"
"2023-12-02_00000021_1","2023-12-02","1","2","36","8etn [B]","360","X-RAY DIFFRACTION","3.16"
"2023-12-02_00000022_1","2023-12-02","0","2","38","8f9x [A]","230","X-RAY DIFFRACTION","2.32"
"2023-12-02_00000041_1","2023-12-02","0","1","37","8gic [A]","399","X-RAY DIFFRACTION","1.64"
"2023-12-02_00000041_2","2023-12-02","0","1","45","8gic [C]","69","X-RAY DIFFRACTION","1.64"
"2023-12-02_00000051_1","2023-12-02","1","0","38","8hmm [A]","642","X-RAY DIFFRACTION","2.7"
"2023-12-02_00000055_1","2023-12-02","0","2","37","8hro [A]","342","X-RAY DIFFRACTION","2.59"
"2023-12-02_00000079_1","2023-12-02","1","0","43","8j9q [A]","73","X-RAY DIFFRACTION","2.18"
"2023-12-02_00000081_1","2023-12-02","1","2","37","8jb1 [A]","488","X-RAY DIFFRACTION","2.44"
"2023-12-02_00000087_1","2023-12-02","0","0","30","8jlv [B]","264","X-RAY DIFFRACTION","2.99864"
"2023-12-02_00000206_2","2023-12-02","0","1","43","8t9o [I]","67","X-RAY DIFFRACTION","2.7"
"2023-11-25_00000116_2","2023-11-25","1","1","42","8a8f [B]","80","X-RAY DIFFRACTION","1.85"
"2023-11-25_00000121_1","2023-11-25","1","2","41","8bnb [B]","95","X-RAY DIFFRACTION","2.11"
"2023-11-25_00000125_1","2023-11-25","1","0","42","8boj [A]","96","X-RAY DIFFRACTION","1.5"
"2023-11-25_00000128_1","2023-11-25","0","2","34","8bou [A]","824","X-RAY DIFFRACTION","2.32"
"2023-11-25_00000130_1","2023-11-25","1","0","42","8bp4 [A]","93","X-RAY DIFFRACTION","1.15"
"2023-11-25_00000139_1","2023-11-25","1","1","40","8bq3 [A]","86","X-RAY DIFFRACTION","2.66"
"2023-11-25_00000143_1","2023-11-25","0","0","35","8bqb [A]","346","X-RAY DIFFRACTION","2.701"
"2023-11-25_00000152_1","2023-11-25","1","0","43","8d00 [A]","305","X-RAY DIFFRACTION","2.8"
"2023-11-25_00000161_1","2023-11-25","1","2","42","8f73 [E]","285","X-RAY DIFFRACTION","2.9"
"2023-11-25_00000164_1","2023-11-25","0","2","43","8f8f [A]","387","X-RAY DIFFRACTION","2"
"2023-11-25_00000178_1","2023-11-25","0","0","43","8hm1 [A]","77","X-RAY DIFFRACTION","1.29"
"2023-11-25_00000181_1","2023-11-25","1","0","49","8hm4 [A]","427","X-RAY DIFFRACTION","3.79"
"2023-11-25_00000187_1","2023-11-25","1","2","43","8i3x [A]","71","X-RAY DIFFRACTION","1.78"
"2023-11-25_00000264_1","2023-11-25","1","2","43","8q70 [A]","279","X-RAY DIFFRACTION","1.85"
"2023-11-25_00000271_1","2023-11-25","1","1","40","8r61 [A]","346","X-RAY DIFFRACTION","3.1"
"2023-11-18_00000006_1","2023-11-18","0","2","37","7xrt [A]","291","X-RAY DIFFRACTION","2.007"
"2023-11-18_00000086_1","2023-11-18","1","1","36","8hfp [A]","77","X-RAY DIFFRACTION","1.82"
"2023-11-18_00000086_2","2023-11-18","1","1","38","8hfp [C]","108","X-RAY DIFFRACTION","1.82"
"2023-11-18_00000097_1","2023-11-18","0","2","41","8hig [A]","256","X-RAY DIFFRACTION","2.329"
"2023-11-18_00000099_1","2023-11-18","2","1","32","8htc [A]","233","X-RAY DIFFRACTION","2.2"
"2023-11-18_00000112_1","2023-11-18","1","2","42","8iq8 [A]","285","X-RAY DIFFRACTION","1.8"
"2023-11-18_00000119_1","2023-11-18","0","1","35","8j5j [A]","219","X-RAY DIFFRACTION","3"
"2023-11-18_00000122_1","2023-11-18","0","0","36","8j6e [A]","336","X-RAY DIFFRACTION","2.05"
"2023-11-18_00000191_1","2023-11-18","0","1","34","8skj [A]","132","X-RAY DIFFRACTION","2.01"
"2023-11-18_00000283_1","2023-11-18","1","0","35","8wkh [A]","131","X-RAY DIFFRACTION","2"
"2023-11-18_00000287_1","2023-11-18","2","0","33","8wt5 [A]","67","SOLUTION NMR","0"
"2023-11-11_00000012_2","2023-11-11","0","1","44","8ams [D]","153","X-RAY DIFFRACTION","2.4"
"2023-11-11_00000031_1","2023-11-11","1","2","44","8cil [A]","380","X-RAY DIFFRACTION","1.98"
"2023-11-11_00000084_2","2023-11-11","1","1","39","8hhj [B]","158","X-RAY DIFFRACTION","1.5"
"2023-11-11_00000085_1","2023-11-11","1","0","39","8hwu [A]","58","SOLUTION NMR","0"
"2023-11-11_00000086_1","2023-11-11","0","0","39","8in1 [A]","994","X-RAY DIFFRACTION","2.7"
"2023-11-11_00000090_1","2023-11-11","2","0","39","8ini [A]","99","X-RAY DIFFRACTION","1.75"
"2023-11-11_00000094_1","2023-11-11","1","0","39","8j3q [A]","58","SOLUTION NMR","0"
"2023-11-11_00000098_1","2023-11-11","0","2","42","8jbd [A]","457","X-RAY DIFFRACTION","2.38"
"2023-11-11_00000131_1","2023-11-11","1","0","44","8jwd [A]","148","X-RAY DIFFRACTION","1.33"
"2023-11-11_00000168_1","2023-11-11","0","2","41","8pz0 [A]","517","X-RAY DIFFRACTION","1.8"
"2023-11-11_00000234_1","2023-11-11","0","0","42","8uvz [A]","168","X-RAY DIFFRACTION","0.93"
"2023-11-04_00000492_1","2023-11-04","0","0","43","8bpd [A]","399","X-RAY DIFFRACTION","1.8"
"2023-11-04_00000496_1","2023-11-04","2","2","44","8bz2 [A]","96","X-RAY DIFFRACTION","1.7"
"2023-11-04_00000499_1","2023-11-04","1","2","43","8d2j [B]","512","X-RAY DIFFRACTION","2.1"
"2023-11-04_00000514_1","2023-11-04","0","2","43","8exz [B]","358","X-RAY DIFFRACTION","2.82"
"2023-11-04_00000560_1","2023-11-04","1","2","44","8iw0 [A]","96","X-RAY DIFFRACTION","2.1"
"2023-11-04_00000568_1","2023-11-04","0","2","40","8kgz [A]","412","X-RAY DIFFRACTION","2.21"
"2023-11-04_00000569_3","2023-11-04","0","1","40","8opr [C]","133","X-RAY DIFFRACTION","1.811"
"2023-11-04_00000605_1","2023-11-04","1","0","43","8qhh [A]","156","SOLUTION NMR","0"
"2023-11-04_00000606_1","2023-11-04","1","0","43","8qhi [A]","158","SOLUTION NMR","0"
"2023-11-04_00000626_1","2023-11-04","1","0","44","8sx1 [A]","333","X-RAY DIFFRACTION","4.2"
"2023-11-04_00000630_1","2023-11-04","0","0","42","8t3i [B]","258","X-RAY DIFFRACTION","1.57"
"2023-11-04_00000631_1","2023-11-04","0","0","39","8t3j [B]","258","X-RAY DIFFRACTION","2.705"
"2023-11-04_00000633_1","2023-11-04","0","0","40","8tfi [A]","177","X-RAY DIFFRACTION","1.97"
"2023-11-04_00000637_1","2023-11-04","0","2","45","8tfz [A]","177","X-RAY DIFFRACTION","2.06"
"2023-11-04_00000654_1","2023-11-04","0","2","38","8txn [D]","726","X-RAY DIFFRACTION","1.75"
"2023-11-04_00000676_1","2023-11-04","1","0","38","8upi [A]","523","X-RAY DIFFRACTION","1.55"
"2023-11-04_00000678_1","2023-11-04","0","2","39","8ur2 [A]","136","X-RAY DIFFRACTION","1.9"
"2023-10-28_00000016_2","2023-10-28","0","1","40","8be2 [N]","127","X-RAY DIFFRACTION","1.89794"
"2023-10-28_00000036_1","2023-10-28","0","2","43","8br4 [A]","357","X-RAY DIFFRACTION","3.29"
"2023-10-28_00000055_1","2023-10-28","1","1","43","8cws [A]","466","X-RAY DIFFRACTION","4.4"
"2023-10-28_00000065_1","2023-10-28","0","0","41","8ety [A]","282","X-RAY DIFFRACTION","1.54"
"2023-10-28_00000131_1","2023-10-28","0","2","46","8har [A]","357","X-RAY DIFFRACTION","2.12"
"2023-10-28_00000156_1","2023-10-28","0","1","45","8iiy [A]","514","X-RAY DIFFRACTION","2.15"
"2023-10-28_00000166_1","2023-10-28","1","0","46","8j0h [A]","142","X-RAY DIFFRACTION","3.383"
"2023-10-28_00000167_1","2023-10-28","0","0","43","8j0p [A]","517","X-RAY DIFFRACTION","2.4"
"2023-10-28_00000170_1","2023-10-28","0","2","43","8jh0 [B]","287","X-RAY DIFFRACTION","2.79"
"2023-10-28_00000195_1","2023-10-28","1","0","45","8p66 [B]","54","SOLUTION NMR","0"
"2023-10-28_00000270_1","2023-10-28","1","1","43","8u45 [A]","101","X-RAY DIFFRACTION","2.1"
"2023-10-21_00000000_1","2023-10-21","1","1","30","7ssf [A]","72","X-RAY DIFFRACTION","1.45"
"2023-10-21_00000031_1","2023-10-21","2","2","39","8ant [B]","103","X-RAY DIFFRACTION","1.9"
"2023-10-21_00000033_2","2023-10-21","1","1","38","8anv [C]","52","X-RAY DIFFRACTION","2.2"
"2023-10-21_00000060_1","2023-10-21","1","2","37","8c8e [C]","82","X-RAY DIFFRACTION","2.2"
"2023-10-21_00000104_3","2023-10-21","1","1","35","8h1r [C]","67","X-RAY DIFFRACTION","2.98"
"2023-10-21_00000118_1","2023-10-21","0","2","36","8h79 [A]","256","X-RAY DIFFRACTION","2.07"
"2023-10-21_00000120_1","2023-10-21","1","0","41","8h7j [A]","563","X-RAY DIFFRACTION","2.5"
"2023-10-21_00000126_1","2023-10-21","1","2","38","8h8p [B]","371","X-RAY DIFFRACTION","2.5"
"2023-10-21_00000164_1","2023-10-21","1","2","39","8okh [A]","175","X-RAY DIFFRACTION","2.17"
"2023-10-21_00000165_1","2023-10-21","1","2","36","8oks [B]","118","X-RAY DIFFRACTION","2.09"
"2023-10-21_00000167_1","2023-10-21","2","2","42","8ol4 [A]","286","X-RAY DIFFRACTION","1.84"
"2023-10-21_00000186_1","2023-10-21","1","2","36","8pnw [A]","281","X-RAY DIFFRACTION","1.7"
"2023-10-21_00000190_1","2023-10-21","2","0","31","8pwt [A]","34","SOLUTION NMR","0"
"2023-10-21_00000209_1","2023-10-21","0","2","38","8q57 [A]","309","X-RAY DIFFRACTION","1.7"
"2023-10-21_00000269_1","2023-10-21","1","1","41","8uc6 [B]","165","X-RAY DIFFRACTION","2.701"
"2023-10-21_00000270_1","2023-10-21","1","0","40","8uk7 [B]","138","X-RAY DIFFRACTION","1.8"
"2023-10-14_00000036_1","2023-10-14","0","2","37","8cqm [B]","238","X-RAY DIFFRACTION","2"
"2023-10-14_00000081_1","2023-10-14","0","2","41","8g5s [B]","389","X-RAY DIFFRACTION","1.5"
"2023-10-14_00000082_1","2023-10-14","0","0","34","8g5t [A]","489","X-RAY DIFFRACTION","1.846"
"2023-10-14_00000086_1","2023-10-14","0","2","41","8gyg [B]","306","X-RAY DIFFRACTION","2"
"2023-10-14_00000087_2","2023-10-14","0","1","44","8h1i [B]","69","X-RAY DIFFRACTION","2.1"
"2023-10-14_00000088_1","2023-10-14","0","2","39","8h2a [A]","370","X-RAY DIFFRACTION","2.5"
"2023-10-14_00000089_1","2023-10-14","0","2","39","8h2b [D]","373","X-RAY DIFFRACTION","2.1"
"2023-10-14_00000111_2","2023-10-14","0","1","35","8h5t [B]","127","X-RAY DIFFRACTION","2"
"2023-10-14_00000112_2","2023-10-14","0","1","35","8h5u [B]","119","X-RAY DIFFRACTION","2.401"
"2023-10-14_00000120_1","2023-10-14","0","2","38","8hlg [A]","172","X-RAY DIFFRACTION","2"
"2023-10-14_00000121_1","2023-10-14","0","0","38","8ho6 [A]","326","X-RAY DIFFRACTION","2.1"
"2023-10-14_00000163_1","2023-10-14","0","0","39","8jdc [A]","471","X-RAY DIFFRACTION","1.696"
"2023-10-14_00000209_1","2023-10-14","1","0","39","8oys [A]","190","X-RAY DIFFRACTION","1.34"
"2023-10-14_00000221_1","2023-10-14","1","1","30","8pnl [C]","543","X-RAY DIFFRACTION","2.7"
"2023-10-14_00000255_1","2023-10-14","1","0","30","8ssc [A]","1150","X-RAY DIFFRACTION","2.75"
"2023-10-14_00000256_1","2023-10-14","1","2","38","8ssf [B]","194","X-RAY DIFFRACTION","2.5"
"2023-10-07_00000009_1","2023-10-07","1","0","38","7zet [A]","402","X-RAY DIFFRACTION","2.8"
"2023-10-07_00000011_2","2023-10-07","0","1","41","7zg5 [C]","94","X-RAY DIFFRACTION","2"
"2023-10-07_00000020_1","2023-10-07","1","0","40","8b74 [A]","466","X-RAY DIFFRACTION","1.965"
"2023-10-07_00000048_1","2023-10-07","1","0","36","8f5h [B]","139","X-RAY DIFFRACTION","2.3"
"2023-10-07_00000076_1","2023-10-07","1","0","35","8ftt [A]","130","X-RAY DIFFRACTION","2.08"
"2023-10-07_00000091_1","2023-10-07","2","0","22","8h2m [A]","1214","X-RAY DIFFRACTION","3.08"
"2023-10-07_00000138_1","2023-10-07","0","2","35","8jyt [C]","297","X-RAY DIFFRACTION","1.79"
"2023-10-07_00000145_1","2023-10-07","0","0","38","8ods [A]","344","X-RAY DIFFRACTION","1.909"
"2023-10-07_00000173_1","2023-10-07","1","2","38","8ssd [A]","523","X-RAY DIFFRACTION","2.4"
"2023-09-30_00000026_1","2023-09-30","0","1","46","8b5s [A]","374","X-RAY DIFFRACTION","1.95"
"2023-09-30_00000027_1","2023-09-30","1","0","42","8b5w [A]","459","X-RAY DIFFRACTION","1.8"
"2023-09-30_00000034_1","2023-09-30","1","0","43","8bl3 [A]","141","X-RAY DIFFRACTION","2.8"
"2023-09-30_00000035_1","2023-09-30","2","0","45","8bl6 [A]","176","X-RAY DIFFRACTION","2.8"
"2023-09-30_00000048_1","2023-09-30","0","0","40","8e1b [A]","150","X-RAY DIFFRACTION","1.65"
"2023-09-30_00000049_1","2023-09-30","0","0","40","8e1c [A]","126","X-RAY DIFFRACTION","1.9"
"2023-09-30_00000071_1","2023-09-30","0","0","42","8g95 [A]","414","X-RAY DIFFRACTION","2.2"
"2023-09-30_00000090_2","2023-09-30","0","1","40","8h64 [B]","123","X-RAY DIFFRACTION","2.35"
"2023-09-30_00000113_1","2023-09-30","1","0","40","8j1w [A]","214","X-RAY DIFFRACTION","1.95"
"2023-09-30_00000118_1","2023-09-30","1","2","42","8jhe [A]","555","X-RAY DIFFRACTION","2.201"
"2023-09-30_00000128_1","2023-09-30","1","0","40","8ki5 [A]","332","X-RAY DIFFRACTION","2.01"
