"Target","Submission Date","Difficulty","Quaternary State of Target","# of Monomeric Models (Homo-oligomeric)","ref. PDB [Chain]","Sequence Length (residues)","Method","Resolution"
"2023-07-01_00000022_1","2023-07-01","0","0","39","7xyr [A]","591","X-RAY DIFFRACTION","2"
"2023-07-01_00000027_1","2023-07-01","0","0","39","7y1s [A]","519","X-RAY DIFFRACTION","2.748"
"2023-07-01_00000028_1","2023-07-01","0","0","32","7y1u [A]","723","X-RAY DIFFRACTION","2.5"
"2023-07-01_00000095_1","2023-07-01","0","2","32","8a50 [B]","32","X-RAY DIFFRACTION","1.484"
"2023-07-01_00000109_1","2023-07-01","0","0","38","8b9o [A]","155","X-RAY DIFFRACTION","2"
"2023-07-01_00000134_1","2023-07-01","1","0","42","8d2z [A]","327","X-RAY DIFFRACTION","1.85"
"2023-07-01_00000152_1","2023-07-01","0","0","39","8dei [B]","490","X-RAY DIFFRACTION","2.81"
"2023-07-01_00000250_1","2023-07-01","1","0","29","8ftw [A]","166","SOLUTION NMR","0"
"2023-07-01_00000251_1","2023-07-01","2","0","40","8ftx [A]","214","SOLUTION NMR","0"
"2023-07-01_00000255_1","2023-07-01","1","0","37","8fzy [A]","196","X-RAY DIFFRACTION","2.9"
"2023-07-01_00000256_2","2023-07-01","1","1","40","8fzz [B]","202","X-RAY DIFFRACTION","2.68"
"2023-07-01_00000293_1","2023-07-01","0","2","38","8oup [B]","162","X-RAY DIFFRACTION","1.7"
"2023-07-01_00000315_1","2023-07-01","1","1","39","8pfc [A]","105","X-RAY DIFFRACTION","2.2"
"2023-07-01_00000316_2","2023-07-01","0","1","37","8pfd [B]","194","X-RAY DIFFRACTION","2.17"
"2023-06-24_00000020_1","2023-06-24","1","2","37","7yjw [B]","330","X-RAY DIFFRACTION","3.2"
"2023-06-24_00000036_1","2023-06-24","1","0","34","7zn6 [A]","654","X-RAY DIFFRACTION","1.9"
"2023-06-24_00000061_1","2023-06-24","1","2","40","8c7t [B]","262","X-RAY DIFFRACTION","2.21"
"2023-06-24_00000065_1","2023-06-24","2","0","37","8cx6 [A]","240","SOLID-STATE NMR","0"
"2023-06-24_00000118_1","2023-06-24","2","2","38","8flx [A]","352","X-RAY DIFFRACTION","4.5"
"2023-06-24_00000136_1","2023-06-24","1","1","37","8gme [A]","324","X-RAY DIFFRACTION","4.98"
"2023-06-24_00000141_1","2023-06-24","0","1","35","8gv1 [A]","224","X-RAY DIFFRACTION","1.186"
"2023-06-24_00000173_1","2023-06-24","1","2","40","8p26 [J]","238","X-RAY DIFFRACTION","3.6"
"2023-06-24_00000187_1","2023-06-24","1","0","39","8t5j [A]","197","X-RAY DIFFRACTION","1.55"
"2023-06-24_00000188_1","2023-06-24","0","2","40","8t5n [A]","476","X-RAY DIFFRACTION","1.65"
"2023-06-24_00000193_1","2023-06-24","0","0","38","8t7w [A]","307","X-RAY DIFFRACTION","1.55"
"2023-06-17_00000010_1","2023-06-17","1","0","41","7y5m [A]","170","X-RAY DIFFRACTION","1.5"
"2023-06-17_00000020_1","2023-06-17","0","0","44","7ytf [A]","325","X-RAY DIFFRACTION","2.65"
"2023-06-17_00000021_1","2023-06-17","0","2","44","7yth [B]","326","X-RAY DIFFRACTION","1.93"
"2023-06-17_00000029_1","2023-06-17","0","1","43","8ail [I]","225","X-RAY DIFFRACTION","2.45"
"2023-06-17_00000031_2","2023-06-17","1","1","42","8ain [B]","120","X-RAY DIFFRACTION","2.7"
"2023-06-17_00000048_1","2023-06-17","0","0","43","8cm1 [A]","212","X-RAY DIFFRACTION","1.46"
"2023-06-17_00000066_1","2023-06-17","0","0","40","8e4t [A]","283","X-RAY DIFFRACTION","1.95"
"2023-06-17_00000100_1","2023-06-17","1","0","45","8fzb [A]","331","X-RAY DIFFRACTION","3.35"
"2023-06-17_00000120_1","2023-06-17","1","2","44","8gq9 [A]","440","X-RAY DIFFRACTION","2.3"
"2023-06-17_00000137_1","2023-06-17","0","0","44","8hp5 [A]","289","X-RAY DIFFRACTION","2.5"
"2023-06-17_00000169_2","2023-06-17","1","1","41","8itg [B]","42","X-RAY DIFFRACTION","2.25"
"2023-06-17_00000199_1","2023-06-17","0","2","38","8ofj [B]","166","X-RAY DIFFRACTION","2.25"
"2023-06-17_00000205_1","2023-06-17","0","2","44","8ovh [A]","464","X-RAY DIFFRACTION","2.171"
"2023-06-17_00000210_1","2023-06-17","0","2","38","8p0s [A]","133","X-RAY DIFFRACTION","2.2"
"2023-06-10_00000226_1","2023-06-10","1","0","46","7qf8 [A]","519","X-RAY DIFFRACTION","2.009"
"2023-06-10_00000244_1","2023-06-10","1","0","45","7uwu [A]","635","X-RAY DIFFRACTION","2.19"
"2023-06-10_00000250_1","2023-06-10","1","2","37","7xpi [A]","371","X-RAY DIFFRACTION","2"
"2023-06-10_00000295_1","2023-06-10","0","0","36","7ylt [A]","361","X-RAY DIFFRACTION","2.3"
"2023-06-10_00000310_1","2023-06-10","0","0","43","8a0n [B]","213","X-RAY DIFFRACTION","1.4"
"2023-06-10_00000342_2","2023-06-10","0","1","40","8aok [B]","128","X-RAY DIFFRACTION","1.6"
"2023-06-10_00000358_1","2023-06-10","0","0","39","8c2o [A]","264","X-RAY DIFFRACTION","2.35"
"2023-06-10_00000402_3","2023-06-10","0","1","38","8d9y [I]","71","X-RAY DIFFRACTION","2.2"
"2023-06-10_00000407_1","2023-06-10","0","2","39","8dl5 [B]","496","X-RAY DIFFRACTION","2.1"
"2023-06-10_00000482_2","2023-06-10","1","1","41","8ij9 [C]","78","X-RAY DIFFRACTION","2.04"
"2023-06-10_00000517_2","2023-06-10","1","1","34","8ojs [B]","227","X-RAY DIFFRACTION","2.75"
"2023-06-03_00000012_1","2023-06-03","1","1","43","7xpc [A]","337","X-RAY DIFFRACTION","3.31"
"2023-06-03_00000013_1","2023-06-03","1","2","45","7xrb [A]","232","X-RAY DIFFRACTION","1.65"
"2023-06-03_00000014_1","2023-06-03","1","2","39","7xsy [A]","667","X-RAY DIFFRACTION","2.5"
"2023-06-03_00000069_2","2023-06-03","2","1","43","8as9 [D]","51","X-RAY DIFFRACTION","3.4"
"2023-06-03_00000077_1","2023-06-03","0","0","38","8b48 [A]","394","X-RAY DIFFRACTION","2.65"
"2023-06-03_00000081_1","2023-06-03","1","0","44","8bgj [A]","224","X-RAY DIFFRACTION","1.63"
"2023-06-03_00000110_1","2023-06-03","0","0","44","8cri [A]","335","X-RAY DIFFRACTION","2.1"
"2023-06-03_00000130_1","2023-06-03","1","2","46","8dq2 [A]","110","X-RAY DIFFRACTION","1.8"
"2023-06-03_00000131_1","2023-06-03","0","2","33","8e1u [A]","1131","X-RAY DIFFRACTION","2.65"
"2023-06-03_00000174_1","2023-06-03","0","1","40","8gbw [H]","243","X-RAY DIFFRACTION","1.5"
"2023-06-03_00000178_1","2023-06-03","0","1","40","8gc0 [H]","236","X-RAY DIFFRACTION","2.43"
"2023-06-03_00000216_2","2023-06-03","1","1","40","8ie2 [H]","694","X-RAY DIFFRACTION","3.6"
"2023-06-03_00000218_1","2023-06-03","1","0","37","8iic [B]","524","X-RAY DIFFRACTION","3.25"
"2023-06-03_00000230_1","2023-06-03","1","2","38","8oq1 [A]","710","X-RAY DIFFRACTION","1.55"
"2023-05-27_00000000_1","2023-05-27","0","2","41","7qbj [D]","507","X-RAY DIFFRACTION","2.27"
"2023-05-27_00000018_2","2023-05-27","0","1","30","7xld [B]","134","X-RAY DIFFRACTION","1.65"
"2023-05-27_00000057_1","2023-05-27","1","1","32","7yk3 [A]","242","X-RAY DIFFRACTION","2.2"
"2023-05-27_00000066_1","2023-05-27","0","2","38","7ypv [A]","206","X-RAY DIFFRACTION","2.415"
"2023-05-27_00000100_1","2023-05-27","1","0","36","8ahk [A]","41","SOLUTION NMR","0"
"2023-05-27_00000110_1","2023-05-27","0","0","34","8b6a [B]","214","X-RAY DIFFRACTION","1.77"
"2023-05-27_00000117_1","2023-05-27","1","0","39","8bb6 [A]","519","X-RAY DIFFRACTION","2.68"
"2023-05-27_00000157_1","2023-05-27","1","2","42","8du5 [A]","378","X-RAY DIFFRACTION","3.5"
"2023-05-27_00000178_1","2023-05-27","0","1","30","8ee0 [A]","932","X-RAY DIFFRACTION","2.65"
"2023-05-27_00000198_1","2023-05-27","0","0","32","8fbt [A]","432","X-RAY DIFFRACTION","2.2"
"2023-05-27_00000265_1","2023-05-27","0","0","43","8hfa [A]","253","X-RAY DIFFRACTION","2.64"
"2023-05-27_00000289_1","2023-05-27","1","0","31","8odw [A]","639","X-RAY DIFFRACTION","3.07"
"2023-05-27_00000290_1","2023-05-27","0","2","36","8oek [A]","449","X-RAY DIFFRACTION","2.22"
"2023-05-27_00000291_1","2023-05-27","0","0","29","8of9 [A]","266","X-RAY DIFFRACTION","3.11"
"2023-05-27_00000312_1","2023-05-27","0","0","41","8swd [A]","195","X-RAY DIFFRACTION","2.45"
"2023-05-20_00000027_1","2023-05-20","0","0","41","7y4h [A]","338","X-RAY DIFFRACTION","1.8"
"2023-05-20_00000029_1","2023-05-20","0","0","39","7y54 [A]","100","X-RAY DIFFRACTION","1.787"
"2023-05-20_00000030_1","2023-05-20","0","0","40","7y5j [A]","102","X-RAY DIFFRACTION","1.6"
"2023-05-20_00000035_1","2023-05-20","0","0","39","7y8h [B]","100","X-RAY DIFFRACTION","1.8"
"2023-05-20_00000036_1","2023-05-20","1","0","23","7y8i [E]","97","X-RAY DIFFRACTION","1.9"
"2023-05-20_00000037_1","2023-05-20","1","2","46","7y8s [B]","298","X-RAY DIFFRACTION","2.696"
"2023-05-20_00000049_1","2023-05-20","1","0","44","7yhr [A]","60","X-RAY DIFFRACTION","1.45"
"2023-05-20_00000055_1","2023-05-20","0","2","43","7ypn [D]","475","X-RAY DIFFRACTION","2.049"
"2023-05-20_00000064_1","2023-05-20","2","2","41","7ztw [A]","150","X-RAY DIFFRACTION","1.93"
"2023-05-20_00000068_1","2023-05-20","2","2","41","7zua [A]","125","X-RAY DIFFRACTION","1.68"
"2023-05-20_00000107_1","2023-05-20","0","1","41","8bs8 [H]","307","X-RAY DIFFRACTION","1.59"
"2023-05-20_00000139_1","2023-05-20","1","2","32","8d0o [A]","322","X-RAY DIFFRACTION","2.1"
"2023-05-20_00000209_1","2023-05-20","0","2","39","8fxf [A]","93","X-RAY DIFFRACTION","2.8"
"2023-05-20_00000211_1","2023-05-20","1","0","41","8g52 [A]","329","X-RAY DIFFRACTION","1.88"
"2023-05-20_00000212_1","2023-05-20","1","0","46","8g53 [A]","218","X-RAY DIFFRACTION","1.03"
"2023-05-20_00000249_1","2023-05-20","0","2","43","8hfw [A]","304","X-RAY DIFFRACTION","1.66"
"2023-05-13_00000022_1","2023-05-13","0","0","42","7xc8 [A]","249","X-RAY DIFFRACTION","2.55"
"2023-05-13_00000035_1","2023-05-13","0","2","42","7xr8 [A]","328","X-RAY DIFFRACTION","1.94"
"2023-05-13_00000038_1","2023-05-13","0","2","45","7xri [A]","258","X-RAY DIFFRACTION","2.19"
"2023-05-13_00000050_1","2023-05-13","1","2","45","7yfu [A]","45","X-RAY DIFFRACTION","1.5"
"2023-05-13_00000051_1","2023-05-13","0","2","37","7yfv [B]","60","X-RAY DIFFRACTION","2.2"
"2023-05-13_00000063_1","2023-05-13","1","0","46","7zs0 [A]","316","X-RAY DIFFRACTION","1.75"
"2023-05-13_00000079_1","2023-05-13","2","2","39","8a14 [A]","324","X-RAY DIFFRACTION","1.9"
"2023-05-13_00000092_1","2023-05-13","1","2","40","8cok [B]","104","X-RAY DIFFRACTION","2.91"
"2023-05-13_00000104_1","2023-05-13","1","1","44","8cyf [A]","102","X-RAY DIFFRACTION","2.44"
"2023-05-13_00000110_1","2023-05-13","0","2","37","8dhe [A]","687","X-RAY DIFFRACTION","2.2"
"2023-05-13_00000132_1","2023-05-13","0","0","43","8fn5 [A]","632","X-RAY DIFFRACTION","1.92"
"2023-05-13_00000145_1","2023-05-13","0","0","42","8ghx [A]","365","X-RAY DIFFRACTION","2.46"
"2023-05-13_00000153_2","2023-05-13","2","1","40","8gp6 [A]","348","X-RAY DIFFRACTION","2.7"
"2023-05-06_00000020_1","2023-05-06","1","2","43","7spq [A]","328","X-RAY DIFFRACTION","1.8"
"2023-05-06_00000024_1","2023-05-06","1","2","43","7txe [A]","159","X-RAY DIFFRACTION","2.3"
"2023-05-06_00000038_1","2023-05-06","2","2","36","7uyx [B]","196","X-RAY DIFFRACTION","2.63"
"2023-05-06_00000063_1","2023-05-06","0","2","36","7zng [A]","230","X-RAY DIFFRACTION","2.3"
"2023-05-06_00000066_1","2023-05-06","0","0","33","7znp [A]","505","X-RAY DIFFRACTION","2.15"
"2023-05-06_00000069_1","2023-05-06","1","0","45","7zoh [C]","147","X-RAY DIFFRACTION","1.56"
"2023-05-06_00000171_1","2023-05-06","0","0","42","8e4f [A]","195","X-RAY DIFFRACTION","2.47"
"2023-05-06_00000212_1","2023-05-06","0","2","44","8g9m [A]","267","X-RAY DIFFRACTION","2.5"
"2023-05-06_00000247_1","2023-05-06","1","2","43","8smq [A]","173","X-RAY DIFFRACTION","2"
"2023-05-06_00000248_1","2023-05-06","0","2","39","8sng [A]","387","X-RAY DIFFRACTION","1.55"
"2023-04-29_00000001_1","2023-04-29","0","2","40","7s2i [A]","279","X-RAY DIFFRACTION","2.32"
"2023-04-29_00000002_1","2023-04-29","0","2","39","7s2j [C]","271","X-RAY DIFFRACTION","1.85"
"2023-04-29_00000005_1","2023-04-29","0","2","38","7s2m [B]","265","X-RAY DIFFRACTION","2.42"
"2023-04-29_00000015_1","2023-04-29","0","0","44","7ulq [E]","73","X-RAY DIFFRACTION","2.2"
"2023-04-29_00000026_1","2023-04-29","1","0","40","7uvg [A]","183","X-RAY DIFFRACTION","1.77"
"2023-04-29_00000044_1","2023-04-29","0","0","43","7xmh [A]","294","X-RAY DIFFRACTION","1.18"
"2023-04-29_00000046_1","2023-04-29","0","0","42","7xnd [B]","207","X-RAY DIFFRACTION","1.6"
"2023-04-29_00000047_1","2023-04-29","1","2","43","7xnj [B]","76","X-RAY DIFFRACTION","2.1"
"2023-04-29_00000067_1","2023-04-29","0","0","38","7y97 [A]","406","X-RAY DIFFRACTION","2.36"
"2023-04-29_00000088_1","2023-04-29","1","1","39","8aaj [A]","358","X-RAY DIFFRACTION","3.7"
"2023-04-29_00000101_2","2023-04-29","1","1","45","8ba1 [B]","116","SOLUTION NMR","0"
"2023-04-29_00000115_1","2023-04-29","1","0","44","8bvp [A]","542","X-RAY DIFFRACTION","2.1"
"2023-04-29_00000133_1","2023-04-29","0","0","44","8dy2 [B]","252","X-RAY DIFFRACTION","1.65"
"2023-04-29_00000134_1","2023-04-29","0","0","42","8dy3 [A]","249","X-RAY DIFFRACTION","1.509"
"2023-04-29_00000135_1","2023-04-29","0","0","42","8dy4 [A]","252","X-RAY DIFFRACTION","2.4"
"2023-04-29_00000160_1","2023-04-29","1","2","30","8elf [B]","407","X-RAY DIFFRACTION","2"
"2023-04-29_00000175_1","2023-04-29","0","2","32","8fhj [C]","557","X-RAY DIFFRACTION","2.61"
"2023-04-22_00000019_2","2023-04-22","1","1","40","7wko [B]","269","X-RAY DIFFRACTION","2.3"
"2023-04-22_00000020_1","2023-04-22","1","0","45","7wkp [A]","189","X-RAY DIFFRACTION","2"
"2023-04-22_00000030_1","2023-04-22","0","0","32","7xjm [A]","326","X-RAY DIFFRACTION","1.755"
"2023-04-22_00000032_1","2023-04-22","1","0","35","7xjr [A]","337","X-RAY DIFFRACTION","1.85"
"2023-04-22_00000054_1","2023-04-22","1","0","43","7ynx [A]","203","X-RAY DIFFRACTION","2.3"
"2023-04-22_00000060_1","2023-04-22","2","0","47","7zk0 [A]","89","SOLUTION NMR","0"
"2023-04-22_00000082_1","2023-04-22","1","2","38","7zpn [A]","184","X-RAY DIFFRACTION","1.94"
"2023-04-22_00000083_1","2023-04-22","1","2","38","8a0c [A]","1173","X-RAY DIFFRACTION","2.9"
"2023-04-22_00000098_1","2023-04-22","1","0","41","8a8k [A]","335","X-RAY DIFFRACTION","3.1"
"2023-04-22_00000115_2","2023-04-22","1","1","42","8arb [B]","76","X-RAY DIFFRACTION","2.63"
"2023-04-22_00000164_2","2023-04-22","0","1","43","8dqm [H]","139","X-RAY DIFFRACTION","2.7"
"2023-04-22_00000202_1","2023-04-22","0","2","44","8gqz [A]","479","X-RAY DIFFRACTION","1.42"
"2023-04-22_00000207_1","2023-04-22","0","0","38","8gxd [A]","374","X-RAY DIFFRACTION","3.02"
"2023-04-22_00000219_3","2023-04-22","1","1","43","8hhf [L]","121","X-RAY DIFFRACTION","3.04"
"2023-04-22_00000222_2","2023-04-22","1","1","38","8hk0 [B]","384","X-RAY DIFFRACTION","2.29"
"2023-04-15_00000012_1","2023-04-15","1","2","53","7unh [A]","246","X-RAY DIFFRACTION","2.4"
"2023-04-15_00000016_1","2023-04-15","0","2","52","7uoc [A]","274","X-RAY DIFFRACTION","2.3"
"2023-04-15_00000043_1","2023-04-15","1","0","44","7xio [B]","497","X-RAY DIFFRACTION","2.64"
"2023-04-15_00000050_1","2023-04-15","0","2","51","7xrq [A]","355","X-RAY DIFFRACTION","2.501"
"2023-04-15_00000051_1","2023-04-15","0","0","50","7y11 [A]","299","X-RAY DIFFRACTION","1.95"
"2023-04-15_00000121_1","2023-04-15","0","2","49","8avk [A]","203","X-RAY DIFFRACTION","2.1"
"2023-04-15_00000122_1","2023-04-15","0","2","49","8avl [A]","192","X-RAY DIFFRACTION","1.6"
"2023-04-15_00000123_1","2023-04-15","0","2","49","8avm [A]","192","X-RAY DIFFRACTION","2"
"2023-04-15_00000205_1","2023-04-15","1","2","47","8gps [A]","244","X-RAY DIFFRACTION","1.39"
"2023-04-15_00000207_1","2023-04-15","0","0","44","8gyn [A]","160","X-RAY DIFFRACTION","1.38"
"2023-04-15_00000210_1","2023-04-15","1","0","51","8h02 [A]","84","X-RAY DIFFRACTION","1.552"
"2023-04-15_00000232_1","2023-04-15","0","0","36","8ian [A]","270","X-RAY DIFFRACTION","2.08"
"2023-04-15_00000234_1","2023-04-15","0","0","41","8ibj [A]","270","X-RAY DIFFRACTION","1.92"
"2023-04-15_00000235_1","2023-04-15","1","0","39","8inh [B]","479","X-RAY DIFFRACTION","2.5"
"2023-04-15_00000255_1","2023-04-15","0","0","36","8sf3 [A]","713","X-RAY DIFFRACTION","1.7"
"2023-04-08_00000022_2","2023-04-08","0","1","50","7sfy [C]","42","X-RAY DIFFRACTION","2.5"
"2023-04-08_00000039_2","2023-04-08","1","1","50","7txf [F]","30","X-RAY DIFFRACTION","2.47"
"2023-04-08_00000056_1","2023-04-08","0","2","50","7ukx [B]","415","X-RAY DIFFRACTION","1.8"
"2023-04-08_00000077_2","2023-04-08","0","1","50","7xad [C]","105","X-RAY DIFFRACTION","3"
"2023-04-08_00000084_1","2023-04-08","1","2","51","7xgt [B]","302","X-RAY DIFFRACTION","1.7"
"2023-04-08_00000085_1","2023-04-08","1","0","52","7xgv [A]","655","X-RAY DIFFRACTION","2.27"
"2023-04-08_00000118_1","2023-04-08","1","0","50","7zl9 [A]","431","X-RAY DIFFRACTION","2.7"
"2023-04-08_00000119_1","2023-04-08","1","0","49","7zly [A]","431","X-RAY DIFFRACTION","2.7"
"2023-04-08_00000137_1","2023-04-08","0","2","49","8ast [C]","131","X-RAY DIFFRACTION","1.55"
"2023-04-08_00000157_1","2023-04-08","1","0","47","8c3e [A]","58","X-RAY DIFFRACTION","2.1"
"2023-04-08_00000175_1","2023-04-08","1","2","49","8e0l [A]","165","X-RAY DIFFRACTION","2.1"
"2023-04-08_00000197_1","2023-04-08","1","2","49","8fft [D]","370","X-RAY DIFFRACTION","2.1"
"2023-04-08_00000264_1","2023-04-08","0","0","50","8sbn [A]","214","X-RAY DIFFRACTION","1.15"
"2023-04-01_00000008_1","2023-04-01","0","0","52","7ui2 [B]","128","X-RAY DIFFRACTION","1.19"
"2023-04-01_00000009_1","2023-04-01","0","1","52","7ui8 [A]","128","X-RAY DIFFRACTION","2.373"
